name,n_keypoints,type,category,average_correlation_per_keypoint,MMD-EMD,MMD-CD
valiant-resonance-9673,8,dpm,04225987,,4.123596954741515e-05,0.019966350170555792
treasured-night-9672,8,ours,03790512,0.7769608497619629,1.1034763701900374e-05,0.002958417744817084
fanciful-feather-9671,8,dpm,03797390,,6.424346065614372e-05,0.16322335748825328
frosty-capybara-9670,8,ours,03790512,0.75,1.1744594303308986e-05,0.0031340776189890127
stellar-wave-9669,8,dpm,04225987,,4.247505421517417e-05,0.024065733176393857
charmed-glitter-9668,8,dpm,03797390,,5.060544572188519e-05,0.1858537511128073
peach-durian-9667,8,ours,03790512,0.8039215803146362,1.0379582818131894e-05,0.0025684910989530927
lucky-glitter-9666,8,dpm,04225987,,5.97817670495715e-05,0.20700216905740657
light-cloud-9665,8,dpm,03797390,,5.15277570229955e-05,0.14633408771731407
stoic-paper-9664,8,ours,03790512,0.7843137383460999,1.2123974556743631e-05,0.0031052610432164814
rosy-terrain-9663,8,dpm,04225987,,6.903018220327795e-05,0.17966119554264315
northern-disco-9662,8,dpm,03797390,,6.453604873968288e-05,0.2237050303505873
smooth-gorge-9661,8,ours,03790512,0.7647058963775635,1.2759879609802738e-05,0.005861795944674796
blooming-morning-9660,8,dpm,04225987,,3.9447102608392015e-05,0.07616686263063871
neat-wildflower-9659,8,dpm,03797390,,5.83628861932084e-05,0.2142043102936197
northern-sun-9658,8,ours,03790512,0.7965686321258545,1.1046629879274406e-05,0.0029095507648767634
earnest-firefly-9657,8,dpm,04225987,,3.270142406108789e-05,0.031371991300657015
autumn-puddle-9656,8,ours,03001627,0.6836956739425659,1.231733494932996e-05,0.008098630502920803
blooming-salad-9655,8,dpm,03797390,,6.084774577175267e-05,0.23142952915599335
happy-forest-9654,8,ours,03790512,0.774509847164154,1.2364148460619616e-05,0.003664363248009009
absurd-frost-9653,8,dpm,03001627,,5.292913192533888e-05,0.13813230862471634
comic-bush-9652,8,dpm,04225987,,3.9043887227308005e-05,0.029344837986914597
sage-pine-9651,8,dpm,03797390,,8.33898811833933e-05,0.19880880252180644
fallen-oath-9650,8,ours,03790512,0.7720588445663452,1.305740534007782e-05,0.0030054740916084454
copper-valley-9649,8,dpm,04225987,,2.76331884379033e-05,0.02639825805936668
mild-lake-9648,8,dpm,03797390,,7.405739597743377e-05,0.27784161074703184
graceful-sun-9647,8,ours,03790512,0.7598039507865906,1.248436365131056e-05,0.003507599162647021
classic-pyramid-9646,8,dpm,04225987,,3.5975477658212185e-05,0.031902273385318536
elated-sound-9645,8,dpm,03797390,,8.318257459904999e-05,0.25591152435171677
autumn-sun-9644,8,ours,03790512,0.7769607901573181,1.3664922335010488e-05,0.00352781755694249
fragrant-totem-9643,8,dpm,04225987,,7.611949695274234e-05,0.29041181410772593
classic-firebrand-9642,8,dpm,03797390,,6.264074181672186e-05,0.24063888550822468
atomic-blaze-9641,8,dpm,04225987,,3.278991425759159e-05,0.06685646116679278
kind-dragon-9640,8,ours,03790512,0.8210784792900085,1.400842211296549e-05,0.003749416039454184
desert-leaf-9639,8,dpm,04225987,,3.2849038689164445e-05,0.028224761307528885
stellar-dew-9638,8,dpm,03797390,,7.879628537921235e-05,0.24757225949095016
royal-waterfall-9637,8,ours,03001627,0.654347836971283,1.266511571884621e-05,0.008225842944972323
worthy-wildflower-9636,8,ours,03790512,0.7990195751190186,1.3503205082088243e-05,0.004582843610412648
major-deluge-9634,8,dpm,03797390,,5.795233300887048e-05,0.21556124296087265
celestial-star-9635,8,dpm,04225987,,4.131595414946787e-05,0.01726780555969374
dry-feather-9633,8,dpm,04379243,,5.592098386841826e-05,0.20729923923009147
divine-silence-9631,8,ours,03790512,0.781862735748291,1.3772426427749451e-05,0.002439248152774865
jolly-sunset-9631,8,dpm,04225987,,5.7405261031817645e-05,0.21059169655169624
smart-field-9630,8,dpm,03797390,,5.671802136930637e-05,0.169183638974635
peachy-lake-9629,8,dpm,04225987,,3.23314088745974e-05,0.02814612487579647
gallant-lake-9628,8,dpm,03797390,,6.494468107121065e-05,0.2513610578841481
playful-bird-9627,8,ours,03790512,0.7990196347236633,1.3924160157330334e-05,0.0032491943952648555
usual-eon-9626,8,dpm,04225987,,3.215614196960814e-05,0.030061267761583695
polished-planet-9625,8,dpm,03797390,,9.424697782378644e-05,0.2891933108514481
good-terrain-9624,8,dpm,04225987,,4.1289229557150975e-05,0.10828092938478193
robust-monkey-9623,8,ours,03790512,0.813725471496582,1.3066795872873628e-05,0.0031315648107866543
sweet-bird-9622,8,dpm,03797390,,5.201442763791419e-05,0.18437252513063748
